ID,year,mcp_fit_well,"prob_tag(1='overall bad fit to data' , 2='missed an obvious plateau' , 3='chasing a single/few points', 4=  'intercept fit to messy mvmt', 5='missed an additional winter plateau', 6='intercept split b/w 2 plateaus' )",enough data to classify migration for entire year,comments
6L_2nd,6L_2nd-2021-2022,Y,6,Y,* good example * last intercept way off from breeding site because split with spring staging area; otherwise great 
6M,6M-2021-2022,Y,,Y,disperser next summer?
6M,6M-2022-2023,Y,,Y,year started with high NSD for summer dispersal
6N,6N-2020-2021,Y,4,Y,"messy winter, spring foray; resident"
6N,6N-2021-2022,Y,4,Y,resident; a couple intercepts that aren't meaningfull
6P,6P-2021-2022,Y,"4,6",Y,"disperser, messy 2nd summer mvmt"
6R,6R-2020-2021,Y,,N,"only 250 days, still at wintering area"
6R_2nd,6R_2nd-2021-2022,Y,"3,4",Y,last intercept off from breeding site because split with spring staging area
6R_2nd,6R_2nd-2022-2023,Y,,Y,
6T,6T-2020-2021,Y,"3,4",Y,"mcp ok, but data just kinda messy to characterize well with only plateaus"
6T,6T-2021-2022,Y,,Y,
7A,7A-2019-2020,Y,3,N,200 days; still on wintering site
7C,7C-2020-2021,Y,,Y,looks great
7C,7C-2021-2022,Y,,Y,"fit 7 intercepts when 3 would have been best, but hopefully ruleset can ignore them"
7C,7C-2022-2023,Y,,Y,
7E,7E-2020-2021,Y,,Y,"fit 5 intercepts when 3 would have been best, but hopefully ruleset can ignore them"
7E,7E-2021-2022,Y,"1,4",Y,just super messy data; not mcp's fault
7E,7E-2022-2023,Y,,Y,"messy spring arrival, so didn't get a tight segment fit"
7H,7H-2020-2021,Y,,Y,
7H,7H-2021-2022,N,,Y,spring plateaus not well-fit; obvious staging and breeding plateaus but mcp botched them
7J,7J-2019-2020,Y,1,Y,resident; increased mvmt in winter
7J,7J-2020-2021,Y,4,Y,resident; messy after fall
7J,7J-2021-2022,Y,4,N,data super spotty and only 100 days
7K,7K-2020-2021,Y,4,Y,"resident with messy mvmt in winter/spring, many areas used, back to clean breeding plateau"
7K,7K-2021-2022,Y,"3,4,6",N,only 200 days
7L,7L-2021-2022,Y,,Y," Heber-1, clean fit; only 120 days"
7L,7L-2022-2023,Y,,Y,
7M,7M-2021-2022,N,"2,3,6",Y,resident? Really big foray! Dispersed at end of year?
7M,7M-2022-2023,Y,,N,"Only 90 days, dispersed it's breeding territory at the end of the previous year (to PA)"
7N,7N-2020-2021,Y,6,Y,"split a stretch of messy winter mvmt, but pretty good fit overall"
7N,7N-2021-2022,Y,,Y,
7N,7N-2022-2023,Y,,Y,
7P,7P-2021-2022,Y,"2, 4",Y,last intercept off from breeding site because split with spring staging area
7P,7P-2022-2023,Y,,N,very sparse data collection after first 50-100 days
7R,7R-2020-2021,N,"1,2,3,4",Y,a mess
7R,7R-2021-2022,Y,"2,4",N,"only 200 days, bad after 150"
7T,7T-2020-2021,Y,,Y,
7T,7T-2021-2022,Y,2,Y,spring plateaus not well-fit; obvious staging and breeding plateaus but mcp botched them
7T,7T-2022-2023,Y,,Y,missed fitting a good segment to breeding area return at the end of the year
8A,8A-2020-2021,Y,4,Y,"didn't return to breeding area next spring, then dispersed the next summer?"
8A,8A-2021-2022,Y,,Y,* potential molt migration over 2021 summer? *
8C,8C-2020-2021,Y,,Y,"fit 7 intercepts when 3 would have been best, but hopefully ruleset can ignore them"
8C,8C-2021-2022,Y,,Y,
8C,8C-2022-2023,Y,,Y,
8E,8E-2020-2021,Y,,Y,
8E_2nd,8E_2nd-2021-2022,Y,,Y,didn't return to breeding site the next summer
8E_2nd,8E_2nd-2022-2023,Y,,Y,
8H,8H-2020-2021,Y,,Y,
8L,8L-2021-2022,Y,,Y,"Heber-2 clean fit, only 1/2 yr"
8L,8L-2022-2023,Y,,Y,
8M,8M-2021-2022,Y,4,Y,"super messy, not mcp's fault; resident"
8M,8M-2022-2023,Y,,N,
8N,8N-2021-2022,Y,4,Y,** good example of returning to breeding site during winter **
8P,8P-2021-2022,Y,,Y,"made move in fall, then big dispersal or molt migration the next summer?"
8P,8P-2022-2023,N,,N,"started year with new summer dispersal, then no data after ~100 days except for 1 location at 200 days"
8R,8R-2020-2021,Y,4,Y ,"** good example of good fit to messy data **  'resident' in distance moved, but obvious mini-migration during fall-winter-spring"
8R,8R-2021-2022,Y,4,N,Only 175 days
8T,8T-2020-2021,Y,5,Y,
8T,8T-2021-2022,Y,"2, 4, 5",N,"about 250, just barely get spring return but no segment fit for it"
9A,9A-2019-2020,Y,,Y,
9A,9A-2020-2021,Y,4,N,only ~215 days
9C,9C-2021-2022,Y,"2,6",Y,"only 250 days, but you can see the spring return mvmt"
9E,9E-2020-2021,Y,6,Y,only just barely get the return back to the breeding area
9H,9H-2020-2021,Y,,N,"about 200 days of data (deployment in Aug, mort in Feb)"
9H_2nd,9H_2nd-2021-2022,Y,,Y,
9H_2nd,9H_2nd-2022-2023,Y,,Y,"winter plateau a bit off, and missed spring staging and breeding area return"
9J (first deployment),9J (first deployment)-2019-2020,Y,3,N,only 120 days
9J (swan originally collared as 5J),9J (swan originally collared as 5J)-2020-2021,Y,"1,4",Y,"resident, a little messier fall-winter-spring"
9J (swan originally collared as 5J),9J (swan originally collared as 5J)-2021-2022,Y,4,N,150 days; glad to see only 1 intercept for resident!
9L,9L-2021-2022,Y,,N,Arkansas capture
9L,9L-2022-2023,Y,,Y,Arkansas capture
9M,9M-2021-2022,Y,,N,only 80 days
9N,9N-2021-2022,Y,,Y,disperser next summer?
9N,9N-2022-2023,Y,,Y,started year with summer dispersal from the year before; spent winter near original capture location
9P,9P-2021-2022,Y,"2,6",Y,"missed fall and spring staging, but good fit overall"
9R,9R-2020-2021,Y,,Y,
9R,9R-2021-2022,Y,,Y,
9R,9R-2022-2023,Y,,N,only 200 days of data
